ProductBrand,ProductName,ProductTHCUnit,ProductTHCAmount,ProductCBDUnit,ProductCBDAmount,DispensaryName,Delivery,ProductType,ProductTypeSub,Quantity1,Price1,QuantityAvailable
Chalice Farms,Kali RXO Shatter | 1g,PERCENTAGE,0,PERCENTAGE,0,Homegrown Oregon (Beaverton),0,Concentrate,shatter,1g,5,4
Chalice Farms,Kali RXO Shatter | 1g,PERCENTAGE,0,PERCENTAGE,0,Left Coast Connection,0,Concentrate,shatter,1g,5,11
Flapjax Extracts,Extract - Flapjax - Nigerian Silver (Cured Resin),PERCENTAGE,69.9,PERCENTAGE,3.6,VIBE - Amberlight,0,Concentrate,shatter,1g,13.33,5
Faded,Nigerian Silver Haze - Sugar Sauce - Faded,PERCENTAGE,69.67,PERCENTAGE,0.23,Broadway Cannabis Market,0,Concentrate,sauce,1g,14.79,9
Faded,Nigerian Silver Haze - Sugar Sauce - Faded,PERCENTAGE,69.67,PERCENTAGE,0.23,Broadway Cannabis Market,0,Concentrate,sauce,1g,14.79,10
Artifact Extracts,Extract - Artifact - Sweet Nigerian Walker (Cured Crumble),PERCENTAGE,72.58,PERCENTAGE,0,VIBE - Amberlight,0,Concentrate,crumble,1g,15.83,6
,Korova:Lemon Thai Kush Badder,N/A,0,N/A,0,Cannabliss Co (The Blvd),0,Concentrate,badder,1g,16,19
Higher Cultures,Higher Cultures - ZAMOAZ Live Resin Sauce,PERCENTAGE,77.1,PERCENTAGE,0.2,Left Coast Connection,0,Concentrate,live-resin,1g,16,1
Cultivated Industries,Faded Extracts - Live Resin - Nigerian Silver Haze,N/A,0,N/A,0,Urban Farmacy,1,Concentrate,live-resin,1g,16.04,1
Korova,Lemon Thai Kush Badder | 1g,PERCENTAGE,71.6,PERCENTAGE,0,Oregons Finest (Convention Center),1,Concentrate,live-resin,1g,16.67,6
Korova,Lemon Thai Kush Badder | 1g,PERCENTAGE,71.6,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,badder,1g,16.67,8
,OM Extracts - Panama Red 3:1 FECO,N/A,0,N/A,0,Papa Buds,0,Concentrate,,1g,20,14
Jam Extracts,Jam Extracts | Grapefruit Moonshine | 1g,PERCENTAGE,67.9,PERCENTAGE,0,Electric Lettuce - Alberta Arts District,1,Concentrate,live-resin,1gC,20,9997
Jam Extracts,Jam | Grapefruit Moonshine LR | 1g,PERCENTAGE,67.9,PERCENTAGE,0,Cannabliss (Firestation 23),0,Concentrate,live-resin,1g,20,6
Jam Extracts,Jam: Grapefruit Moonshine,PERCENTAGE,67.9,PERCENTAGE,0,Cannabliss Co (The Blvd),0,Concentrate,,1g,20,5
OM Extracts,Panama Red 3:1 - OM Extracts - RSO,PERCENTAGE,14.02,PERCENTAGE,41.29,Arcanna,0,Concentrate,rosin,1g,21.67,8
Quantum Alchemy,Nigerian Wedding - Sugar,N/A,0,N/A,0,The Dispensary on 52nd,0,Concentrate,sugar,1g,23.33,8
Faded,Faded-Nigerian Silver Haze- BHO,N/A,0,N/A,0,Bridge City Collective - N WIlliams,1,Concentrate,,1g,24,5
Dr. Jollys,Dr.Js I Nigerian (SH) RSO 1g,N/A,0,N/A,0,Top Hat Express,1,Concentrate,rso,1g,25,2
Jackpot,Jackpot - BLUE LEMON THAI - Cartridge - - S,N/A,0,N/A,0,Chalice Farms (Downtown),0,Concentrate,,1g,25,5
Jackpot,Jackpot - BLUE LEMON THAI - Cartridge - - S,N/A,0,N/A,0,Chalice Farms (Downtown),0,Concentrate,,1g,25,6
Jackpot,Jackpot - BLUE LEMON THAI - Cartridge - - S,N/A,0,N/A,0,Chalice Farms (Powell),1,Concentrate,,1g,25,4
Jackpot,Jackpot - BLUE LEMON THAI - Cartridge - - S,PERCENTAGE,87.8,PERCENTAGE,0,Left Coast Connection,0,Concentrate,,1g,25,7
Artifact Extracts,Key Lime Thai Live Resin | 1g,PERCENTAGE,61.13,PERCENTAGE,0.18,Broadway Cannabis Market,0,Concentrate,live-resin,1g,27.75,9
Capital Cannabis,Lavender Jones - Diamonds - Capital Cannabis,PERCENTAGE,78.76,PERCENTAGE,0,Broadway Cannabis Market,0,Concentrate,diamonds,1g,27.75,2
RXO,RXO - KALI - Cartridge - - H,PERCENTAGE,58.2,PERCENTAGE,0.69,Left Coast Connection,0,Concentrate,,1g,28,11
Artifact Extracts,Artifact Extracts - KEY LIME THAI Live Sauce,PERCENTAGE,61.13,PERCENTAGE,0.18,Chalice Farms (Powell),1,Concentrate,sauce,1g,30,3
Artifact Extracts,Artifact Extracts - KEY LIME THAI Live Sauce,PERCENTAGE,61.13,PERCENTAGE,0.18,Left Coast Connection,0,Concentrate,sauce,1g,30,2
Applegate Valley Oregon,Chocolate Thai Afghani,PERCENTAGE,14.48,PERCENTAGE,0.05,Nectar - Terwilliger,0,Flower,,1g,2,20
Applegate Valley Oregon,Chocolate Thai Afghani,PERCENTAGE,14.93,PERCENTAGE,0.07,Nectar - Beaverton Hillsdale,0,Flower,,1g,2,5
Applegate Valley Oregon,Chocolate Thai Afghani,PERCENTAGE,14.93,PERCENTAGE,0.07,Nectar - Sandy,0,Flower,,1g,2,5
,DaveFu Blue Lemon Thai,PERCENTAGE,19.77,N/A,0,Truly Pure,1,Flower,,1g,5,25
Pistil Pioneers,PP I Grapefruit Moonshine (SH),PERCENTAGE,20.85,PERCENTAGE,0.08,Top Hat Express,1,Flower,,1g,5,25
54 green acres,$99 oz | Kali | 54 Green Acres,PERCENTAGE,20.13,PERCENTAGE,0.08,Cannabliss (Firestation 23),0,Flower,,1g,6,25
54 green acres,$99oz | Kali | 54 Green Acres,PERCENTAGE,21.01,PERCENTAGE,0.06,Cannabliss & Co (22nd & Burn),0,Flower,,1g,6,25
54 green acres,Kali (54 Green Acres),PERCENTAGE,20.39,PERCENTAGE,0.08,Cannabliss Co (The Blvd),0,Flower,,1g,6,25
Dave-Fu Farms,Nigerian Silver - Indoor Flower - Dave Fu Farms,PERCENTAGE,25.45,PERCENTAGE,0.07,Arcanna,0,Flower,,1g,7.5,25
Creswell Organics,Creswell Organics-Grapefruit Crater,PERCENTAGE,18.78,N/A,0,Bridge City Collective - N WIlliams,1,Flower,,1g,8,8
Creswell Organics,Creswell Organics-Grapefruit Crater,PERCENTAGE,18.78,N/A,0,Bridge City Collective - N WIlliams,1,Flower,,1g,8,9
Northwest Artisan Coalition,Zamaldelica,PERCENTAGE,15.56,PERCENTAGE,0.04,Nectar - Beaverton Hillsdale,0,Flower,,1g,8,8
Northwest Artisan Coalition,Zamaldelica,PERCENTAGE,15.56,PERCENTAGE,0.04,Nectar - Terwilliger,0,Flower,,1g,8,4
Northwest Artisan Coalition,Zamaldelica,PERCENTAGE,20.78,PERCENTAGE,0.05,Nectar - Sandy,0,Flower,,1g,8,1
PILOT Cannabis & Concentrates,Pilot Farms Grapefruit Diesel,PERCENTAGE,22.5,PERCENTAGE,0.01,Farma,1,Flower,,1g,8,25
Pilot Farm,Grapefruit Diesel,PERCENTAGE,21.48,PERCENTAGE,0,Serra (Belmont St - Portland),1,Flower,,1g,8,200
Pilot Farm,Grapefruit Diesel,PERCENTAGE,22.5,PERCENTAGE,0,Electric Lettuce - Sellwood,0,Flower,,1g,8,25
Pilot Farms,Grapefruit Diesel,PERCENTAGE,22.5,PERCENTAGE,0,Electric Lettuce - Weilder,0,Flower,,1g,8,25
TFF Inc.,Lemon Thai Kush,PERCENTAGE,25.24,N/A,0,Attis Trading Co (Gladstone),0,Flower,,1g,8,25
Fox Hollow Flora,Nigerian Silver,PERCENTAGE,23.86,PERCENTAGE,0,Urban Farmacy,1,Flower,,1g,8.25,25
Greenpoint Oregon,Greenpoint Oregon - LAVENDER - I,PERCENTAGE,22.52,PERCENTAGE,0.07,Chalice Farms (Downtown),0,Flower,,1g,9,25
Greenpoint Oregon,Greenpoint Oregon - LAVENDER - I,PERCENTAGE,22.52,PERCENTAGE,0.07,Chalice Farms (Powell),1,Flower,,1g,9,25
,Lemon Thai Kush - 3 Fingers Farm,N/A,0,N/A,0,The New Amsterdam,0,Flower,,1g,10,25
Phyre,Wild Thai - Phyre,PERCENTAGE,26.11,PERCENTAGE,0,Tetra Cannabis (Belmont),1,Flower,,1g,10,25
Savage Gardens,Thai Iced Tea - Indoor Flower - Savage Gardens,PERCENTAGE,24.1,PERCENTAGE,0.05,Arcanna,0,Flower,,1g,10,25
Fox Hollow Flora,FOX HOLLOW FLORA | NIGERIA SILVERTIP,PERCENTAGE,23.86,PERCENTAGE,0.01,Oregrown (Portland),1,Flower,,1g,11.67,25
Fox Hollow Flora,FOX HOLLOW FLORA | ROMULAN,PERCENTAGE,22.7,PERCENTAGE,0.01,Oregrown (Portland),1,Flower,,1g,11.67,25
Fox Hollow Flora,Nigerian Silvertip | Fox Hollow Flora,PERCENTAGE,23.86,N/A,0,Oregons Finest (Pearl Dispensary),0,Flower,,1g,11.67,15
Fox Hollow Flora,Romulan | Fox Hollow Flora,PERCENTAGE,22.7,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Flower,,1g,11.67,25
Fox Hollow Flora,Nigerian Silver | Fox Hollow Flora,PERCENTAGE,26.86,N/A,0,Oregons Finest (Convention Center),1,Flower,,1g,13.33,25
Fox Hollow Flora,Romulan | Fox Hollow Flora,PERCENTAGE,22.7,PERCENTAGE,0,Oregons Finest (Convention Center),1,Flower,,1g,13.33,25
Cascadia,Cascadia - Thai Dye - Buds,PERCENTAGE,27.59,N/A,0,La Mota (SE Portland),0,Flower,,1g,22,25
Cascadia,Cascadia - Thai Dye - Bulk Bud,PERCENTAGE,27.59,PERCENTAGE,0,Mr. Nice Guy (Portland - SE Woodstock),0,Flower,small-buds,1g,22,20
Cascadia,Cascadia - Thai Dye - Bulk Bud,PERCENTAGE,27.59,PERCENTAGE,0,Mr. Nice Guy (Portland - SE Woodstock),0,Flower,small-buds,1g,22,25
Cascadia,Cascadia - Thai Dye - Bulk Buds,PERCENTAGE,27.59,N/A,0,La Mota (Johnson Creek),0,Flower,,1g,22,24
Fox Hollow Flora,Romulan Bulk Flower,PERCENTAGE,21.31,PERCENTAGE,0,Curaleaf (OR) - Portland,0,Flower,,1g,0.0,25
Garden of the Gods,Grapefruit Durban,PERCENTAGE,27.13,PERCENTAGE,0.1,MindRite,0,Flower,,1g,0.0,25
Kana Farms,3.5g Blue Lemon Thai,PERCENTAGE,19.65,PERCENTAGE,0,MindRite,0,Flower,,1/8oz,0.0,16
Garden of the Gods,Grapefruit Durban,PERCENTAGE,27.13,PERCENTAGE,0.1,MindRite,0,Flower,,1g,10.8,25
Cascadia,Cascadia - Thai Dye - Buds,PERCENTAGE,27.59,PERCENTAGE,0,La Mota (NW Front),0,Flower,,1g,11.0,25
Kana Farms,3.5g Blue Lemon Thai,PERCENTAGE,19.65,PERCENTAGE,0,MindRite,0,Flower,,1/8oz,15.0,16
Demeter Gardens,Demeter Gardens - Blue Lemon Thai - Buds,PERCENTAGE,30.75,PERCENTAGE,0,La Mota (NW Front),0,Flower,small-buds,1g,6.0,11
Fox Hollow Flora,Romulan Bulk Flower,PERCENTAGE,21.31,PERCENTAGE,0,Curaleaf (OR) - Portland,0,Flower,,1g,9.02,25
